"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 13:37:26 GMT 2025","Thu Oct 23 13:37:27 GMT 2025","550","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_31_file_upload[chrome]","Test file upload using send_keys with local test server (reliable)."
"passed","Thu Oct 23 13:32:59 GMT 2025","Thu Oct 23 13:33:02 GMT 2025","2272","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_09_wait_strategies[chrome]","Test different wait strategies."
"passed","Thu Oct 23 13:40:04 GMT 2025","Thu Oct 23 13:40:24 GMT 2025","20003","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_login_flow","Test complete login flow using Page Factory"
"passed","Thu Oct 23 13:37:28 GMT 2025","Thu Oct 23 13:37:42 GMT 2025","13955","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_32_broken_links_check[chrome]","Test broken link validation using reliable sites."
"passed","Thu Oct 23 13:35:19 GMT 2025","Thu Oct 23 13:35:22 GMT 2025","2520","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_19_faker_data_generation[chrome]","Test with Faker generated data."
"passed","Thu Oct 23 13:37:43 GMT 2025","Thu Oct 23 13:37:46 GMT 2025","3078","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_33_radio_button_demo[chrome]","Test radio button with multiple site options."
"passed","Thu Oct 23 13:39:10 GMT 2025","Thu Oct 23 13:39:28 GMT 2025","18573","selenium_demoblaze_framework.tests","test_link_checker","TestLinkChecker","","","test_link_checker_with_custom_filters","Test link checking with custom filters."
"passed","Thu Oct 23 13:36:02 GMT 2025","Thu Oct 23 13:36:05 GMT 2025","2950","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_21_invalid_login[chrome]","Test invalid login attempt."
"passed","Thu Oct 23 13:35:06 GMT 2025","Thu Oct 23 13:35:18 GMT 2025","12619","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_18_browser_navigation[chrome]","Test browser navigation operations."
"passed","Thu Oct 23 13:33:03 GMT 2025","Thu Oct 23 13:33:34 GMT 2025","31683","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_10_data_driven_excel[chrome]","
        MODIFIED: Test now reads data from data/test_data.xlsx and performs UI actions.
        "
"passed","Thu Oct 23 13:33:58 GMT 2025","Thu Oct 23 13:34:19 GMT 2025","21020","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_12_data_driven_json[chrome]","
        MODIFIED: Test now reads data from data/test_data.json and performs UI actions.
        "
"passed","Thu Oct 23 13:37:12 GMT 2025","Thu Oct 23 13:37:24 GMT 2025","11496","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_29_log_collection[chrome]","Test collecting browser logs."
"passed","Thu Oct 23 13:36:13 GMT 2025","Thu Oct 23 13:36:38 GMT 2025","24311","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_24_about_us_modal[chrome]","Test About Us modal and video playback."
"passed","Thu Oct 23 13:34:56 GMT 2025","Thu Oct 23 13:34:56 GMT 2025","60","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_14_storage_operations[chrome]","Test local and session storage operations."
"passed","Thu Oct 23 13:34:54 GMT 2025","Thu Oct 23 13:34:54 GMT 2025","2","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_13b_utility_demo_csv[chrome]","This test demonstrates WRITING and then READING CSV data."
"passed","Thu Oct 23 13:36:51 GMT 2025","Thu Oct 23 13:37:04 GMT 2025","12679","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_26_categories[chrome]","Test navigation through all categories."
"passed","Thu Oct 23 13:37:11 GMT 2025","Thu Oct 23 13:37:11 GMT 2025","1","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_28_mobile_emulation[chrome]","Mobile emulation is disabled by default."
"passed","Thu Oct 23 13:39:02 GMT 2025","Thu Oct 23 13:39:09 GMT 2025","6936","selenium_demoblaze_framework.tests","test_link_checker","TestLinkChecker","","","test_check_external_links","Test checking only external links with fallback sites."
"passed","Thu Oct 23 13:41:00 GMT 2025","Thu Oct 23 13:41:00 GMT 2025","29","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_element_caching","Test that elements are properly cached"
"passed","Thu Oct 23 13:40:38 GMT 2025","Thu Oct 23 13:40:42 GMT 2025","4134","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_product_details","Test getting product details"
"passed","Thu Oct 23 13:32:17 GMT 2025","Thu Oct 23 13:32:30 GMT 2025","13174","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_02_mouse_operations[chrome]","Test all mouse operations with visual feedback on DemoBlaze."
"passed","Thu Oct 23 13:34:22 GMT 2025","Thu Oct 23 13:34:53 GMT 2025","31628","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_13_data_driven_csv[chrome]","
        MODIFIED: Test now reads data from data/test_data.csv and performs UI actions.
        "
"passed","Thu Oct 23 13:32:31 GMT 2025","Thu Oct 23 13:32:38 GMT 2025","6204","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_03_keyboard_operations[chrome]","Test keyboard operations."
"passed","Thu Oct 23 13:37:25 GMT 2025","Thu Oct 23 13:37:25 GMT 2025","138","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_30_cleanup[chrome]","Test cleanup operations."
"passed","Thu Oct 23 13:34:21 GMT 2025","Thu Oct 23 13:34:21 GMT 2025","1","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_12b_utility_demo_json[chrome]","This test demonstrates WRITING and then READING JSON data."
"passed","Thu Oct 23 13:32:39 GMT 2025","Thu Oct 23 13:32:42 GMT 2025","3050","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_04_javascript_execution[chrome]","Test JavaScript execution."
"passed","Thu Oct 23 13:36:39 GMT 2025","Thu Oct 23 13:36:50 GMT 2025","11016","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_25_pagination[chrome]","Test product pagination."
"passed","Thu Oct 23 13:33:57 GMT 2025","Thu Oct 23 13:33:57 GMT 2025","2","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_11b_utility_demo_xml[chrome]","This test demonstrates WRITING and then READING XML data."
"passed","Thu Oct 23 13:36:10 GMT 2025","Thu Oct 23 13:36:12 GMT 2025","2547","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_23_contact_form[chrome]","Test contact form submission."
"passed","Thu Oct 23 13:35:04 GMT 2025","Thu Oct 23 13:35:04 GMT 2025","111","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_17_css_properties[chrome]","Test CSS property validations."
"passed","Thu Oct 23 13:32:43 GMT 2025","Thu Oct 23 13:32:48 GMT 2025","5492","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_05_alerts_handling[chrome]","Test handling of alerts."
"passed","Thu Oct 23 13:32:49 GMT 2025","Thu Oct 23 13:32:50 GMT 2025","180","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_06_cookie_operations[chrome]","Test cookie operations."
"passed","Thu Oct 23 13:37:05 GMT 2025","Thu Oct 23 13:37:10 GMT 2025","5084","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_27_network_emulation[chrome]","Test with emulated network conditions (Chrome only)."
